States,City,Station Code,Station Name,Board
Haryana,Yamunanagar,site_5046,"Gobind Pura, Yamuna Nagar",HSPCB
Jharkhand,Jorapokhar,site_254,"Tata Stadium, Jorapokhar",JSPCB
Karnataka,Bagalkot,site_5264,"Vidayagiri, Bagalkot",KSPCB
Karnataka,Bengaluru,site_162,"BTM Layout, Bengaluru",CPCB
Karnataka,Bengaluru,site_164,"BWSSB Kadabesanahalli, Bengaluru",CPCB
Karnataka,Bengaluru,site_1553,"Bapuji Nagar, Bengaluru",KSPCB
Karnataka,Bengaluru,site_165,"City Railway Station, Bengaluru",KSPCB
Karnataka,Bengaluru,site_1554,"Hebbal, Bengaluru",KSPCB
Karnataka,Bengaluru,site_1555,"Hombegowda Nagar, Bengaluru",KSPCB
Karnataka,Bengaluru,site_1556,"Jayanagar 5th Block, Bengaluru",KSPCB
Karnataka,Bengaluru,site_163,"Peenya, Bengaluru",CPCB
Karnataka,Bengaluru,site_166,"Sanegurava Halli, Bengaluru",KSPCB
Karnataka,Bengaluru,site_1558,"Silk Board, Bengaluru",KSPCB
Karnataka,Chikkaballapur,site_1557,"Chikkaballapur Rural, Chikkaballapur",KSPCB
Karnataka,Chikkamagaluru,site_5265,"Kalyana Nagara, Chikkamagaluru",KSPCB
Karnataka,Hubballi,site_1447,"Deshpande Nagar, Hubballi",KSPCB
Karnataka,Kalaburagi,site_1565,"Lal Bahadur Shastri Nagar, Kalaburagi",KSPCB
Karnataka,Mysuru,site_5125,"Hebbal 1st Stage, Mysuru",KSPCB
Karnataka,Ramanagara,site_5255,"Vijay Nagar, Ramanagara",KSPCB
Karnataka,Vijayapura,site_5267,"Ibrahimpur, Vijayapura",KSPCB
Karnataka,Yadgir,site_5254,"Collector Office, Yadgir",KSPCB
Kerala,Eloor,site_5105,"Udyogamandal, Eloor",Kerala PCB
Kerala,Ernakulam,site_5272,"Kacheripady, Ernakulam",Kerala PCB
Kerala,Kannur,site_5276,"Thavakkara, Kannur",Kerala PCB
Kerala,Kochi,site_5270,"Vyttila, Kochi",Kerala PCB
Kerala,Kollam,site_5334,"Polayathode, Kollam",Kerala PCB
Kerala,Kozhikode,site_5271,"Palayam, Kozhikode",Kerala PCB
Kerala,Thiruvananthapuram,site_5331,"Kariavattom, Thiruvananthapuram",Kerala PCB
Kerala,Thiruvananthapuram,site_252,"Plammoodu, Thiruvananthapuram",Kerala PCB
Madhya Pradesh,Bhopal,site_5247,"T T Nagar, Bhopal",MPPCB
Madhya Pradesh,Damoh,site_5040,"Shrivastav Colony, Damoh",MPPCB
