,States,City,st_Code,st_Name,Board,Latitude,Longitude
65,Haryana,Faridabad,site_5340,"New Industrial Town, Faridabad",HSPCB,28.39072,77.30059
66,Haryana,Faridabad,site_5342,"Sector 11, Faridabad",HSPCB,28.376058,77.315741
67,Haryana,Faridabad,site_5341,"Sector 30, Faridabad",HSPCB,28.4417,77.3217
68,Haryana,Faridabad,site_263,"Sector- 16A, Faridabad",HSPCB,28.408842,77.309908
69,Haryana,Fatehabad ,site_5054,"Huda Sector, Fatehabad",HSPCB,29.503664,75.467934
70,Haryana,Gurugram,site_5025,"NISE Gwal Pahari, Gurugram",HSPCB,28.422681,77.148944
71,Haryana,Gurugram,site_5345,"Sector-51, Gurugram",HSPCB,28.4227,77.0667
72,Haryana,Gurugram,site_5344,"Teri Gram, Gurugram",HSPCB,28.4275,77.1465
73,Haryana,Gurugram,site_146,"Vikas Sadan, Gurugram",HSPCB,28.450124,77.026305
74,Haryana,Hisar,site_5057,"Urban Estate-II, Hisar",HSPCB,29.14056,75.744941
75,Haryana,Jind,site_5056,"Police Lines, Jind",HSPCB,29.307814,76.337619
76,Haryana,Kaithal,site_5072,"Rishi Nagar, Kaithal",HSPCB,29.8006,76.4155
77,Haryana,Karnal,site_5049,"Sector-12, Karnal",HSPCB,29.6953,77.0027
78,Haryana,Kurukshetra ,site_5043,"Sector-7, Kurukshetra",HSPCB,29.966942,76.875879
79,Haryana,Mandikhera,site_5055,"General Hospital, Mandikhera",HSPCB,27.9002,76.9938
80,Haryana,Manesar ,site_5039,"Sector-2 IMT, Manesar",HSPCB,28.360699,76.93609
81,Haryana,Narnaul,site_5053,"Shastri Nagar, Narnaul",HSPCB,28.060249,76.113115
82,Haryana,Palwal ,site_5050,"Shyam Nagar, Palwal",HSPCB,28.148556,77.332067
83,Haryana,Panchkula,site_161,"Sector-6, Panchkula",HSPCB,30.705778,76.853181
84,Haryana,Panipat,site_5048,"Sector-18, Panipat",HSPCB,29.497973,76.993331
85,Haryana,Rohtak,site_147,"MD University, Rohtak",HSPCB,28.52123,76.37138
86,Haryana,Sirsa ,site_5051,"F-Block, Sirsa",HSPCB,29.5364,75.0158
87,Haryana,Sonipat,site_5041,"Murthal, Sonipat",HSPCB,29.0272,77.0621
88,Haryana,Yamunanagar,site_5046,"Gobind Pura, Yamuna Nagar",HSPCB,30.148057,77.289347
89,Jharkhand,Jorapokhar,site_254,"Tata Stadium, Jorapokhar",JSPCB,23.707909,86.41467
90,Karnataka,Bagalkot,site_5264,"Vidayagiri, Bagalkot",KSPCB,16.172806,75.659694
91,Karnataka,Bengaluru,site_162,"BTM Layout, Bengaluru",CPCB,12.913522,77.59508
92,Karnataka,Bengaluru,site_164,"BWSSB Kadabesanahalli, Bengaluru",CPCB,12.935205,77.681449
93,Karnataka,Bengaluru,site_1553,"Bapuji Nagar, Bengaluru",KSPCB,12.951913,77.539784
94,Karnataka,Bengaluru,site_165,"City Railway Station, Bengaluru",KSPCB,12.975684,77.566075
95,Karnataka,Bengaluru,site_1554,"Hebbal, Bengaluru",KSPCB,13.029152,77.585901
96,Karnataka,Bengaluru,site_1555,"Hombegowda Nagar, Bengaluru",KSPCB,12.938539,77.5901
97,Karnataka,Bengaluru,site_1556,"Jayanagar 5th Block, Bengaluru",KSPCB,12.920984,77.584908
98,Karnataka,Bengaluru,site_163,"Peenya, Bengaluru",CPCB,13.02702,77.494094
99,Karnataka,Bengaluru,site_166,"Sanegurava Halli, Bengaluru",KSPCB,12.990328,77.543139
100,Karnataka,Bengaluru,site_1558,"Silk Board, Bengaluru",KSPCB,12.917348,77.622813
101,Karnataka,Chikkaballapur,site_1557,"Chikkaballapur Rural, Chikkaballapur",KSPCB,13.428828,77.731418
102,Karnataka,Chikkamagaluru,site_5265,"Kalyana Nagara, Chikkamagaluru",KSPCB,13.328028,75.797056
103,Karnataka,Hubballi,site_1447,"Deshpande Nagar, Hubballi",KSPCB,15.351773,75.140726
104,Karnataka,Kalaburagi,site_1565,"Lal Bahadur Shastri Nagar, Kalaburagi",KSPCB,17.321993,76.822628
105,Karnataka,Mysuru,site_5125,"Hebbal 1st Stage, Mysuru",KSPCB,12.21041,76.37376
106,Karnataka,Ramanagara,site_5255,"Vijay Nagar, Ramanagara",KSPCB,12.733409,77.298051
107,Karnataka,Vijayapura,site_5267,"Ibrahimpur, Vijayapura",KSPCB,16.802639,75.722694
108,Karnataka,Yadgir,site_5254,"Collector Office, Yadgir",KSPCB,16.7602,77.1428
109,Kerala,Eloor,site_5105,"Udyogamandal, Eloor",Kerala PCB,10.073232,76.302765
110,Kerala,Ernakulam,site_5272,"Kacheripady, Ernakulam",Kerala PCB,9.985653,76.281342
111,Kerala,Kannur,site_5276,"Thavakkara, Kannur",Kerala PCB,11.875,75.3732
112,Kerala,Kochi,site_5270,"Vyttila, Kochi",Kerala PCB,9.969447,76.321186
113,Kerala,Kollam,site_5334,"Polayathode, Kollam",Kerala PCB,8.8787,76.6073
114,Kerala,Kozhikode,site_5271,"Palayam, Kozhikode",Kerala PCB,11.249077,75.784371
115,Kerala,Thiruvananthapuram,site_5331,"Kariavattom, Thiruvananthapuram",Kerala PCB,8.5637,76.8865
116,Kerala,Thiruvananthapuram,site_252,"Plammoodu, Thiruvananthapuram",Kerala PCB,8.514909,76.943588
117,Madhya Pradesh,Bhopal,site_5247,"T T Nagar, Bhopal",MPPCB,23.233584,77.400574
118,Madhya Pradesh,Damoh,site_5040,"Shrivastav Colony, Damoh",MPPCB,23.817487,79.446246
119,Madhya Pradesh,Dewas,site_1404,"Bhopal Chauraha, Dewas",MPPCB,22.968259,76.064118
120,Madhya Pradesh,Gwalior,site_5273,"City Center, Gwalior",MPPCB,26.203442,78.193251
121,Madhya Pradesh,Gwalior,site_5275,"Phool Bagh, Gwalior",Mondelez Ind. Food,26.210536,78.171
122,Madhya Pradesh,Indore,site_5248,"Chhoti Gwaltoli, Indore",MPPCB,22.431,75.5213
123,Madhya Pradesh,Jabalpur,site_5249,"Marhatal, Jabalpur",MPPCB,23.168606,79.932247
124,Madhya Pradesh,Katni,site_5250,"Gole Bazar, Katni",MPPCB,23.50016,80.23284
125,Madhya Pradesh,Maihar,site_5068,"Sahilara, Maihar",KJS Cements,24.261301,80.723178
126,Madhya Pradesh,Mandideep,site_1403,"Sector-D Industrial Area, Mandideep",MPPCB,23.10844,77.511428
127,Madhya Pradesh,Pithampur,site_1402,"Sector-2 Industrial Area, Pithampur",MPPCB,22.624758,75.675238
128,Madhya Pradesh,Ratlam,site_5042,"Shasthri Nagar, Ratlam",IPCA Lab,23.331731,75.045981
129,Madhya Pradesh,Sagar,site_5269,"Deen Dayal Nagar, Sagar",MPPCB,23.864016,78.802893
130,Madhya Pradesh,Satna,site_1433,"Bandhavgar Colony, Satna",Birla Cement,24.584344,80.854941
131,Madhya Pradesh,Singrauli,site_1401,"Vindhyachal STPS, Singrauli",MPPCB,24.10897,82.64558
132,Madhya Pradesh,Ujjain,site_1400,"Mahakaleshwar Temple, Ujjain",MPPCB,23.182719,75.768218
133,Maharashtra,Aurangabad,site_198,"More Chowk Waluj, Aurangabad",MPCB,19.838944,75.244448
134,Maharashtra,Chandrapur,site_271,"Chandrapur, Chandrapur",MPCB,19.645324,77.634523
135,Maharashtra,Chandrapur,site_295,"MIDC Khutala, Chandrapur",MPCB,19.97753,79.233709
136,Maharashtra,Kalyan,site_5118,"Khadakpada, Kalyan",MPCB,19.25292,73.142019
137,Maharashtra,Mumbai,site_168,"Bandra, Mumbai",MPCB,19.0627,72.84614
138,Maharashtra,Mumbai,site_5113,"Borivali East, Mumbai",MPCB,19.13276,72.52048
139,Maharashtra,Mumbai,site_5107,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai",MPCB,19.10078,72.87462
140,Maharashtra,Mumbai,site_5120,"Colaba, Mumbai",MPCB,18.91,72.82
141,Maharashtra,Mumbai,site_5104,"Kurla, Mumbai",MPCB,19.0863,72.8888
142,Maharashtra,Mumbai,site_5112,"Powai, Mumbai",MPCB,19.1375,72.915056
143,Maharashtra,Mumbai,site_5119,"Sion, Mumbai",MPCB,19.047,72.8746
144,Maharashtra,Mumbai,site_5102,"Vasai West, Mumbai",MPCB,19.3832,72.8204
145,Maharashtra,Mumbai,site_5106,"Vile Parle West, Mumbai",MPCB,19.10861,72.83622
